"","Estimate","Std. Error","t value"
"(Intercept)",0.481406954080325,0.00798026565134536,60.3246777880341
"cueMM",0.104719743712665,0.00619870528047857,16.8938091059848
"mini",-0.0229955493453701,0.00554461881758076,-4.1473634350582
"cueMM:mini",0.0478262450232161,0.00638641245262207,7.48874980719106
